"name","name-2","name-3","sale_price"
"Пылесосы","MIRTECH","Пылесос MIRTECH KPA 13",588000
"Пылесосы","Baseus","Пылесос Baseus автомобильный CRXCQ01 01 black",342000
"Пылесосы","Hoco","Пылесос Hoco автомобильный PH16 80W чёрный",481000
"Домашние кинотеатры","LG","Домашний кинотеатр LG LHD457 DUZBLLK",2840000
"Домашние кинотеатры","LG","Домашний кинотеатр LG LHD657 DUZBLLK",2800000
"Домашние кинотеатры","Panasonic","Домашний кинотеатр Panasonic SC-HTB200EGK",1138000
"Домашние кинотеатры","Panasonic","Домашний кинотеатр Panasonic SC-HTB250EGK",1484000
"Домашние кинотеатры","LG","Домашний кинотеатр LG LHD427 DUZBLLK",1215000
"Домашние кинотеатры","LG","Домашний кинотеатр LG LHD647 DUZBLLK",2500000
"Массажеры","Sencor","Массажная ванночка для ног Sencor SFM3720",457000
"Массажеры","Polaris","Прибор для ухода за ногами Polaris PSR 0701",165000
"Массажеры","Polaris","Прибор для ухода за ногами Polaris PSR 1012",50000
"Массажеры","Sencor","Массажная ванночка для ног Sencor SFM3721VT",497000
"Массажеры","Polaris","Прибор для ухода за ногами Polaris PNF 1009",50000
"Напольные весы","Kulrang","Весы напольные Tefal 5283 Atlantis PP3020V1",270000
"Напольные весы","Shaffof","Весы напольные Polaris PWS 1514",220000
"Напольные весы","Novvot rang","Весы напольные Polaris PWS 1843",260000
"Напольные весы","Polaris","Весы напольные Polaris PWS 1857DGF",348000
"Напольные весы","Polaris","Весы напольные Polaris PWS 1858",460000
"Напольные весы","Qora","Весы напольные Polaris PWS 1865",210000
"Напольные весы","Polaris","Весы напольные Polaris PWS 1867",250000
"Напольные весы","Tefal","Весы напольные Tefal PP1060V0",181000
"Напольные весы","Artel","Весы напольные Artel ART EB 9383",214000
"Напольные весы","Artel","Весы напольные Artel ART EB 9460",214000
"Кондиционеры","Hofmann","Кондиционер Hofmann GWH09YB-K3NNA2A",3053000
"Кондиционеры","ZANUSSI","Кондиционер Zanussi ZACS 09 HSN1",2786000
"Кондиционеры","ZANUSSI","Кондиционер Zanussi ZACS 12 HSN1",3955000
"Кондиционеры","Gree","Кондиционер Gree GWH18ACC/BP/I Fairy",6071000
"Кондиционеры","LG","Кондиционер LG AC12BQ",6918000
"Кондиционеры","LG","Кондиционер LG B12TS",5400000
"Кондиционеры","LG","Кондиционер LG B18TS",6710000
"Кондиционеры","LG","Кондиционер LG P12SP",6688000
"Кондиционеры","LG","Кондиционер LG P24SP",7102000
"Кондиционеры","Gree","Кондиционер Gree GWH12RB/I Viola",3907000
"Кондиционеры","Electrolux","Кондиционер Electrolux EACS 09HAT N3 19Y",3302000
"Кондиционеры","Electrolux","Кондиционер Electrolux EACS 18HF N3 18Y",5220000
"Кондиционеры","haier","Кондиционер Haier AS09TH3HRA/1U09BR4ERA",4640000
